,Index,0
141,T30234482,1
142,T30234483,1
143,T30234484,1
144,T30234485,1
145,T30234486,1
146,T30234487,0
147,T30234488,1
148,T30234489,1
149,T30234490,1
150,T30234491,1
151,T30234492,0
152,T30234493,1
153,T30234494,0
154,T30234495,0
155,T30234496,1
156,T30234497,0
157,T30234498,1
158,T30234499,1
159,T30234500,0
160,T30234501,0
161,T30234502,1
162,T30234503,1
163,T30234504,1
164,T30234505,1
165,T30234506,1
166,T30234507,1
167,T30234508,1
168,T30234509,0
169,T30234510,1
170,T30234511,1
171,T30234512,1
172,T30234513,0
173,T30234514,1
174,T30234515,1
175,T30234516,1
176,T30234517,1
177,T30234518,1
178,T30234519,1
179,T30234520,0
180,T30234521,0
181,T30234522,1
182,T30234523,1
183,T30234524,1
184,T30234525,1
185,T30234526,1
186,T30234527,1
187,T30234528,0
188,T30234529,1
189,T30234530,1
190,T30234531,1
191,T30234532,1
192,T30234533,1
193,T30234534,1
194,T30234535,1
195,T30234536,1
196,T30234537,1
197,T30234538,0
198,T30234539,0
199,T30234540,0
200,T30234541,0
201,T30234542,1
202,T30234543,1
203,T30234544,1
204,T30234545,0
205,T30234546,1
206,T30234547,1
207,T30234548,1
208,T30234549,1
209,T30234550,0
210,T30234551,0
211,T30234552,0
212,T30234553,1
213,T30234554,1
214,T30234555,1
215,T30234556,0
216,T30234557,1
217,T30234558,0
218,T30234559,1
219,T30234560,0
220,T30234561,1
221,T30234562,0
222,T30234563,1
223,T30234564,0
224,T30234565,1
225,T30234566,1
226,T30234567,1
227,T30234568,0
228,T30234569,0
229,T30234570,1
230,T30234571,0
231,T30234572,0
232,T30234573,0
233,T30234574,1
234,T30234575,0
235,T30234576,0
236,T30234577,0
237,T30234578,1
238,T30234579,1
239,T30234580,1
240,T30234581,0
241,T30234582,0
242,T30234583,1
243,T30234584,1
244,T30234585,1
245,T30234586,0
246,T30234587,0
247,T30234588,0
248,T30234589,1
249,T30234590,1
250,T30234591,1
251,T30234592,1
252,T30234593,0
253,T30234594,1
254,T30234595,0
255,T30234596,1
256,T30234597,0
257,T30234598,1
258,T30234599,1
259,T30234600,1
260,T30234601,1
261,T30234602,1
262,T30234603,0
263,T30234604,1
264,T30234605,0
265,T30234606,1
266,T30234607,1
267,T30234608,1
268,T30234609,1
269,T30234610,1
270,T30234611,1
271,T30234612,0
272,T30234613,1
273,T30234614,1
274,T30234615,1
275,T30234616,0
276,T30234617,1
277,T30234618,1
278,T30234619,1
279,T30234620,1
280,T30234621,0
281,T30234622,0
282,T30234623,1
283,T30234624,0
284,T30234625,1
285,T30234626,1
286,T30234627,0
287,T30234628,0
288,T30234629,1
289,T30234630,1
290,T30234631,1
291,T30234632,1
292,T30234633,1
293,T30234634,1
294,T30234635,0
295,T30234636,1
296,T30234637,1
297,T30234638,1
298,T30234639,0
299,T30234640,1
300,T30234641,0
301,T30234642,1
302,T30234643,1
303,T30234644,1
304,T30234645,1
305,T30234646,1
306,T30234647,1
307,T30234648,1
308,T30234649,1
309,T30234650,0
310,T30234651,1
311,T30234652,0
312,T30234653,1
313,T30234654,1
314,T30234655,1
315,T30234656,1
316,T30234657,1
317,T30234658,0
318,T30234659,1
319,T30234660,1
320,T30234661,0
321,T30234662,1
322,T30234663,1
323,T30234664,1
324,T30234665,1
325,T30234666,1
326,T30234667,0
327,T30234668,1
328,T30234669,0
329,T30234670,1
330,T30234671,1
331,T30234672,1
332,T30234673,1
333,T30234674,1
334,T30234675,1
335,T30234676,0
336,T30234677,1
337,T30234678,1
338,T30234679,1
339,T30234680,1
340,T30234681,0
341,T30234682,0
342,T30234683,1
343,T30234684,0
344,T30234685,1
345,T30234686,1
346,T30234687,1
347,T30234688,1
348,T30234689,1
349,T30234690,1
350,T30234691,1
351,T30234692,1
352,T30234693,1
353,T30234694,1
354,T30234695,0
355,T30234696,1
356,T30234697,1
357,T30234698,1
358,T30234699,1
359,T30234700,1
360,T30234701,1
361,T30234702,0
362,T30234703,1
363,T30234704,1
364,T30234705,1
365,T30234706,1
366,T30234707,1
367,T30234708,1
368,T30234709,1
369,T30234710,1
370,T30234711,1
371,T30234712,1
372,T30234713,1
373,T30234714,1
374,T30234715,1
375,T30234716,1
376,T30234717,0
377,T30234718,1
378,T30234719,0
379,T30234720,1
380,T30234721,1
381,T30234722,1
382,T30234723,1
383,T30234724,1
384,T30234725,1
385,T30234726,1
386,T30234727,1
387,T30234728,1
388,T30234729,0
389,T30234730,1
390,T30234731,0
391,T30234732,0
392,T30234733,1
393,T30234734,0
394,T30234735,0
395,T30234736,1
396,T30234737,1
397,T30234738,1
398,T30234739,1
399,T30234740,0
400,T30234741,1
401,T30234742,0
402,T30234743,1
403,T30234744,0
404,T30234745,1
405,T30234746,1
406,T30234747,1
407,T30234748,0
408,T30234749,1
409,T30234750,0
410,T30234751,1
411,T30234752,1
412,T30234753,1
413,T30234754,1
414,T30234755,1
415,T30234756,1
416,T30234757,1
417,T30234758,0
418,T30234759,0
419,T30234760,1
420,T30234761,1
421,T30234762,1
422,T30234763,1
423,T30234764,1
424,T30234765,1
425,T30234766,1
426,T30234767,0
427,T30234768,1
428,T30234769,1
429,T30234770,1
430,T30234771,1
431,T30234772,0
432,T30234773,1
433,T30234774,1
434,T30234775,0
435,T30234776,1
436,T30234777,1
437,T30234778,1
438,T30234779,0
439,T30234780,0
440,T30234781,0
441,T30234782,1
442,T30234783,1
443,T30234784,1
444,T30234785,0
445,T30234786,1
446,T30234787,0
447,T30234788,0
448,T30234789,1
449,T30234790,1
450,T30234791,0
451,T30234792,1
452,T30234793,1
453,T30234794,1
454,T30234795,0
455,T30234796,1
456,T30234797,1
457,T30234798,1
458,T30234799,1
459,T30234800,0
460,T30234801,1
461,T30234802,1
462,T30234803,1
463,T30234804,0
464,T30234805,1
465,T30234806,1
466,T30234807,1
467,T30234808,1
468,T30234809,0
469,T30234810,1
470,T30234811,0
471,T30234812,1
472,T30234813,1
473,T30234814,0
474,T30234815,1
475,T30234816,1
476,T30234817,1
477,T30234818,1
478,T30234819,1
479,T30234820,0
480,T30234821,1
481,T30234822,1
482,T30234823,1
483,T30234824,1
484,T30234825,0
485,T30234826,0
486,T30234827,1
487,T30234828,1
488,T30234829,0
489,T30234830,1
490,T30234831,1
491,T30234832,1
492,T30234833,1
493,T30234834,1
494,T30234835,1
495,T30234836,0
496,T30234837,1
497,T30234838,1
498,T30234839,0
499,T30234840,1
500,T30234841,1
501,T30234842,1
502,T30234843,1
503,T30234844,1
504,T30234845,0
505,T30234846,0
506,T30234847,1
507,T30234848,1
508,T30234849,1
509,T30234850,1
510,T30234851,1
511,T30234852,1
512,T30234853,1
513,T30234854,0
514,T30234855,1
515,T30234856,0
516,T30234857,1
517,T30234858,1
518,T30234859,0
519,T30234860,0
520,T30234861,1
521,T30234862,0
522,T30234863,1
523,T30234864,0
524,T30234865,0
525,T30234866,0
526,T30234867,1
527,T30234868,0
528,T30234869,1
529,T30234870,1
530,T30234871,1
531,T30234872,1
532,T30234873,1
533,T30234874,1
534,T30234875,1
535,T30234876,1
536,T30234877,0
537,T30234878,1
538,T30234879,1
539,T30234880,1
540,T30234881,1
541,T30234882,0
542,T30234883,1
543,T30234884,0
544,T30234885,1
545,T30234886,1
546,T30234887,0
547,T30234888,1
548,T30234889,0
549,T30234890,0
550,T30234891,1
551,T30234892,1
552,T30234893,1
553,T30234894,1
554,T30234895,0
555,T30234896,0
556,T30234897,0
557,T30234898,1
558,T30234899,1
559,T30234900,0
560,T30234901,1
561,T30234902,1
562,T30234903,0
563,T30234904,1
564,T30234905,1
565,T30234906,0
566,T30234907,1
567,T30234908,0
568,T30234909,0
569,T30234910,1
570,T30234911,1
571,T30234912,1
572,T30234913,1
573,T30234914,1
574,T30234915,1
575,T30234916,1
576,T30234917,1
577,T30234918,0
578,T30234919,0
579,T30234920,1
580,T30234921,0
581,T30234922,0
582,T30234923,1
583,T30234924,1
584,T30234925,1
585,T30234926,1
586,T30234927,1
587,T30234928,1
588,T30234929,1
589,T30234930,1
590,T30234931,1
591,T30234932,0
592,T30234933,1
593,T30234934,1
594,T30234935,1
595,T30234936,1
596,T30234937,1
597,T30234938,0
598,T30234939,1
599,T30234940,1
600,T30234941,1
601,T30234942,0
602,T30234943,1
603,T30234944,1
604,T30234945,1
605,T30234946,1
606,T30234947,1
607,T30234948,0
608,T30234949,0
609,T30234950,1
610,T30234951,1
611,T30234952,1
612,T30234953,0
613,T30234954,1
614,T30234955,0
615,T30234956,1
616,T30234957,1
617,T30234958,1
618,T30234959,0
619,T30234960,1
620,T30234961,0
621,T30234962,1
622,T30234963,1
623,T30234964,1
624,T30234965,1
625,T30234966,1
626,T30234967,1
627,T30234968,1
628,T30234969,0
629,T30234970,1
630,T30234971,1
631,T30234972,1
632,T30234973,1
633,T30234974,1
634,T30234975,1
635,T30234976,0
636,T30234977,1
637,T30234978,0
638,T30234979,1
639,T30234980,1
640,T30234981,1
641,T30234982,0
642,T30234983,1
643,T30234984,1
644,T30234985,1
645,T30234986,1
646,T30234987,1
647,T30234988,1
648,T30234989,1
649,T30234990,1
650,T30234991,1
651,T30234992,1
652,T30234993,0
653,T30234994,1
654,T30234995,1
655,T30234996,1
656,T30234997,1
657,T30234998,1
658,T30234999,1
659,T30235000,1
660,T30235001,0
661,T30235002,1
662,T30235003,0
663,T30235004,1
664,T30235005,1
665,T30235006,1
666,T30235007,0
667,T30235008,1
668,T30235009,1
669,T30235010,1
670,T30235011,1
671,T30235012,0
672,T30235013,1
673,T30235014,1
674,T30235015,1
675,T30235016,1
676,T30235017,0
677,T30235018,1
678,T30235019,1
679,T30235020,1
680,T30235021,1
681,T30235022,1
682,T30235023,1
683,T30235024,1
684,T30235025,0
685,T30235026,0
686,T30235027,0
687,T30235028,1
688,T30235029,1
689,T30235030,1
690,T30235031,1
691,T30235032,0
692,T30235033,1
693,T30235034,1
694,T30235035,1
695,T30235036,1
696,T30235037,1
697,T30235038,1
698,T30235039,1
699,T30235040,1
700,T30235041,0
701,T30235042,0
702,T30235043,1
703,T30235044,1
704,T30235045,1
705,T30235046,0
706,T30235047,1
707,T30235048,0
708,T30235049,1
709,T30235050,1
710,T30235051,1
711,T30235052,1
712,T30235053,1
713,T30235054,1
714,T30235055,1
715,T30235056,1
716,T30235057,0
717,T30235058,1
718,T30235059,1
719,T30235060,1
720,T30235061,1
721,T30235062,1
722,T30235063,1
723,T30235064,0
724,T30235065,1
725,T30235066,1
726,T30235067,0
727,T30235068,1
728,T30235069,1
729,T30235070,1
730,T30235071,1
731,T30235072,1
732,T30235073,1
733,T30235074,0
734,T30235075,1
735,T30235076,1
736,T30235077,1
737,T30235078,1
738,T30235079,0
739,T30235080,1
740,T30235081,1
741,T30235082,1
742,T30235083,1
743,T30235084,1
744,T30235085,1
745,T30235086,1
746,T30235087,1
747,T30235088,1
748,T30235089,1
749,T30235090,1
750,T30235091,1
751,T30235092,1
752,T30235093,0
753,T30235094,0
754,T30235095,0
755,T30235096,0
756,T30235097,0
757,T30235098,1
758,T30235099,1
759,T30235100,0
760,T30235101,1
761,T30235102,1
762,T30235103,1
763,T30235104,0
764,T30235105,1
765,T30235106,1
766,T30235107,1
767,T30235108,1
768,T30235109,1
769,T30235110,0
770,T30235111,0
771,T30235112,0
772,T30235113,1
773,T30235114,1
774,T30235115,1
775,T30235116,1
776,T30235117,1
777,T30235118,1
778,T30235119,0
779,T30235120,0
780,T30235121,1
781,T30235122,1
782,T30235123,1
783,T30235124,1
784,T30235125,1
785,T30235126,1
786,T30235127,0
787,T30235128,1
788,T30235129,1
789,T30235130,1
790,T30235131,1
791,T30235132,1
792,T30235133,0
793,T30235134,1
794,T30235135,0
795,T30235136,1
796,T30235137,1
797,T30235138,1
798,T30235139,1
799,T30235140,1
800,T30235141,1
801,T30235142,1
802,T30235143,1
803,T30235144,1
804,T30235145,1
805,T30235146,0
806,T30235147,1
807,T30235148,1
808,T30235149,1
809,T30235150,1
810,T30235151,1
811,T30235152,1
812,T30235153,0
813,T30235154,0
814,T30235155,1
815,T30235156,0
816,T30235157,1
817,T30235158,1
818,T30235159,1
819,T30235160,0
820,T30235161,1
821,T30235162,1
822,T30235163,1
823,T30235164,1
824,T30235165,1
825,T30235166,1
826,T30235167,0
827,T30235168,1
828,T30235169,1
829,T30235170,1
830,T30235171,1
831,T30235172,1
832,T30235173,0
833,T30235174,1
834,T30235175,1
835,T30235176,1
836,T30235177,0
837,T30235178,1
838,T30235179,1
839,T30235180,0
840,T30235181,1
841,T30235182,1
842,T30235183,1
843,T30235184,0
844,T30235185,1
845,T30235186,1
846,T30235187,1
847,T30235188,1
848,T30235189,1
849,T30235190,1
850,T30235191,0
851,T30235192,1
852,T30235193,0
853,T30235194,1
854,T30235195,0
855,T30235196,1
856,T30235197,1
857,T30235198,1
858,T30235199,1
859,T30235200,1
860,T30235201,1
861,T30235202,0
862,T30235203,1
863,T30235204,1
864,T30235205,1
865,T30235206,0
866,T30235207,1
867,T30235208,0
868,T30235209,1
869,T30235210,1
870,T30235211,0
871,T30235212,1
872,T30235213,0
873,T30235214,1
874,T30235215,1
875,T30235216,1
876,T30235217,1
877,T30235218,1
878,T30235219,1
879,T30235220,1
880,T30235221,1
881,T30235222,1
882,T30235223,1
883,T30235224,1
884,T30235225,0
885,T30235226,1
886,T30235227,1
887,T30235228,1
888,T30235229,1
889,T30235230,1
890,T30235231,1
891,T30235232,1
892,T30235233,0
893,T30235234,0
894,T30235235,1
895,T30235236,0
896,T30235237,1
897,T30235238,1
898,T30235239,0
899,T30235240,1
900,T30235241,1
901,T30235242,1
902,T30235243,0
903,T30235244,1
904,T30235245,1
905,T30235246,0
906,T30235247,1
907,T30235248,0
908,T30235249,1
909,T30235250,1
910,T30235251,1
911,T30235252,1
912,T30235253,1
913,T30235254,0
914,T30235255,1
915,T30235256,0
916,T30235257,1
917,T30235258,1
918,T30235259,1
919,T30235260,1
920,T30235261,1
921,T30235262,0
922,T30235263,1
923,T30235264,0
924,T30235265,1
925,T30235266,1
926,T30235267,1
927,T30235268,1
928,T30235269,0
929,T30235270,1
930,T30235271,1
931,T30235272,1
932,T30235273,0
933,T30235274,0
934,T30235275,1
935,T30235276,1
936,T30235277,1
937,T30235278,1
938,T30235279,0
939,T30235280,1
940,T30235281,0
941,T30235282,1
942,T30235283,1
943,T30235284,1
944,T30235285,1
945,T30235286,1
946,T30235287,1
947,T30235288,1
948,T30235289,0
949,T30235290,0
950,T30235291,1
951,T30235292,1
952,T30235293,1
953,T30235294,1
954,T30235295,1
955,T30235296,1
956,T30235297,1
957,T30235298,1
958,T30235299,1
959,T30235300,1
960,T30235301,0
961,T30235302,1
962,T30235303,1
963,T30235304,1
964,T30235305,1
965,T30235306,1
966,T30235307,1
967,T30235308,1
968,T30235309,1
969,T30235310,1
970,T30235311,1
971,T30235312,0
972,T30235313,0
973,T30235314,1
974,T30235315,0
975,T30235316,1
976,T30235317,1
977,T30235318,1
978,T30235319,0
979,T30235320,1
980,T30235321,0
981,T30235322,0
982,T30235323,1
983,T30235324,0
984,T30235325,1
985,T30235326,0
986,T30235327,1
987,T30235328,1
988,T30235329,0
989,T30235330,1
990,T30235331,1
991,T30235332,1
992,T30235333,0
993,T30235334,1
994,T30235335,1
995,T30235336,0
996,T30235337,1
997,T30235338,1
998,T30235339,0
999,T30235340,1
1000,T30235341,1
1001,T30235342,1
1002,T30235343,1
1003,T30235344,1
1004,T30235345,1
1005,T30235346,0
1006,T30235347,0
1007,T30235348,0
1008,T30235349,1
1009,T30235350,1
1010,T30235351,1
1011,T30235352,1
1012,T30235353,0
1013,T30235354,1
1014,T30235355,1
1015,T30235356,1
1016,T30235357,1
1017,T30235358,0
1018,T30235359,1
1019,T30235360,1
1020,T30235361,1
1021,T30235362,1
1022,T30235363,0
1023,T30235364,1
1024,T30235365,0
1025,T30235366,1
1026,T30235367,1
1027,T30235368,1
1028,T30235369,0
1029,T30235370,1
1030,T30235371,0
1031,T30235372,1
1032,T30235373,0
1033,T30235374,1
1034,T30235375,1
1035,T30235376,1
1036,T30235377,1
1037,T30235378,0
1038,T30235379,1
1039,T30235380,1
1040,T30235381,1
1041,T30235382,1
1042,T30235383,1
1043,T30235384,0
1044,T30235385,1
1045,T30235386,1
1046,T30235387,1
1047,T30235388,1
1048,T30235389,0
1049,T30235390,1
1050,T30235391,1
1051,T30235392,0
1052,T30235393,1
1053,T30235394,1
1054,T30235395,1
1055,T30235396,1
1056,T30235397,1
1057,T30235398,1
1058,T30235399,1
1059,T30235400,1
1060,T30235401,0
1061,T30235402,1
1062,T30235403,0
1063,T30235404,0
1064,T30235405,1
1065,T30235406,1
1066,T30235407,1
1067,T30235408,1
1068,T30235409,0
1069,T30235410,0
1070,T30235411,1
1071,T30235412,1
1072,T30235413,1
1073,T30235414,1
1074,T30235415,1
1075,T30235416,1
1076,T30235417,1
1077,T30235418,1
1078,T30235419,1
1079,T30235420,1
1080,T30235421,1
1081,T30235422,0
1082,T30235423,1
1083,T30235424,0
1084,T30235425,1
1085,T30235426,1
1086,T30235427,1
1087,T30235428,1
1088,T30235429,1
1089,T30235430,0
1090,T30235431,1
1091,T30235432,0
1092,T30235433,1
1093,T30235434,1
1094,T30235435,1
1095,T30235436,1
1096,T30235437,1
1097,T30235438,1
1098,T30235439,1
1099,T30235440,1
1100,T30235441,1
1101,T30235442,1
1102,T30235443,1
1103,T30235444,1
1104,T30235445,0
1105,T30235446,0
1106,T30235447,0
1107,T30235448,1
1108,T30235449,1
1109,T30235450,1
1110,T30235451,0
1111,T30235452,1
1112,T30235453,1
1113,T30235454,1
1114,T30235455,0
1115,T30235456,0
1116,T30235457,1
1117,T30235458,0
1118,T30235459,1
1119,T30235460,1
1120,T30235461,1
1121,T30235462,0
1122,T30235463,0
1123,T30235464,0
1124,T30235465,1
1125,T30235466,0
1126,T30235467,1
1127,T30235468,1
1128,T30235469,1
1129,T30235470,1
1130,T30235471,0
1131,T30235472,1
1132,T30235473,1
1133,T30235474,1
1134,T30235475,1
1135,T30235476,1
1136,T30235477,0
1137,T30235478,1
1138,T30235479,1
1139,T30235480,1
1140,T30235481,1
1141,T30235482,1
1142,T30235483,0
1143,T30235484,1
1144,T30235485,1
1145,T30235486,1
1146,T30235487,1
1147,T30235488,1
1148,T30235489,1
1149,T30235490,0
1150,T30235491,1
1151,T30235492,1
1152,T30235493,1
1153,T30235494,0
1154,T30235495,0
1155,T30235496,1
1156,T30235497,1
1157,T30235498,1
1158,T30235499,0
1159,T30235500,1
1160,T30235501,1
1161,T30235502,1
1162,T30235503,1
1163,T30235504,1
1164,T30235505,1
1165,T30235506,1
1166,T30235507,1
1167,T30235508,1
1168,T30235509,1
1169,T30235510,1
1170,T30235511,1
1171,T30235512,1
1172,T30235513,1
1173,T30235514,0
1174,T30235515,1
1175,T30235516,1
1176,T30235517,1
1177,T30235518,0
1178,T30235519,0
1179,T30235520,1
1180,T30235521,1
1181,T30235522,0
1182,T30235523,1
1183,T30235524,0
1184,T30235525,1
1185,T30235526,1
1186,T30235527,1
1187,T30235528,1
1188,T30235529,0
1189,T30235530,1
1190,T30235531,0
1191,T30235532,1
1192,T30235533,0
1193,T30235534,1
1194,T30235535,1
1195,T30235536,0
1196,T30235537,1
1197,T30235538,1
1198,T30235539,1
1199,T30235540,1
1200,T30235541,1
1201,T30235542,0
1202,T30235543,0
1203,T30235544,0
1204,T30235545,1
1205,T30235546,0
1206,T30235547,1
1207,T30235548,1
1208,T30235549,0
1209,T30235550,1
1210,T30235551,1
1211,T30235552,1
1212,T30235553,0
1213,T30235554,1
1214,T30235555,1
1215,T30235556,1
1216,T30235557,0
1217,T30235558,1
1218,T30235559,1
1219,T30235560,1
1220,T30235561,1
1221,T30235562,1
1222,T30235563,1
1223,T30235564,0
1224,T30235565,0
1225,T30235566,1
1226,T30235567,1
1227,T30235568,1
1228,T30235569,1
1229,T30235570,1
1230,T30235571,1
1231,T30235572,0
1232,T30235573,1
1233,T30235574,0
1234,T30235575,1
1235,T30235576,1
1236,T30235577,0
1237,T30235578,1
1238,T30235579,0
1239,T30235580,1
1240,T30235581,1
1241,T30235582,1
1242,T30235583,1
1243,T30235584,1
1244,T30235585,1
1245,T30235586,1
1246,T30235587,0
1247,T30235588,1
1248,T30235589,1
1249,T30235590,1
1250,T30235591,1
1251,T30235592,0
1252,T30235593,1
1253,T30235594,0
1254,T30235595,0
1255,T30235596,1
1256,T30235597,0
1257,T30235598,1
1258,T30235599,1
1259,T30235600,1
1260,T30235601,1
1261,T30235602,0
1262,T30235603,0
1263,T30235604,0
1264,T30235605,0
1265,T30235606,0
1266,T30235607,1
1267,T30235608,1
1268,T30235609,1
1269,T30235610,1
1270,T30235611,0
1271,T30235612,1
1272,T30235613,1
1273,T30235614,1
1274,T30235615,1
1275,T30235616,1
1276,T30235617,0
1277,T30235618,1
1278,T30235619,1
1279,T30235620,1
1280,T30235621,1
1281,T30235622,1
1282,T30235623,1
1283,T30235624,1
1284,T30235625,1
1285,T30235626,1
1286,T30235627,1
1287,T30235628,1
1288,T30235629,1
1289,T30235630,1
1290,T30235631,1
1291,T30235632,1
1292,T30235633,1
1293,T30235634,1
1294,T30235635,0
1295,T30235636,1
1296,T30235637,1
1297,T30235638,1
1298,T30235639,1
1299,T30235640,0
1300,T30235641,0
1301,T30235642,1
1302,T30235643,0
1303,T30235644,1
1304,T30235645,1
1305,T30235646,0
1306,T30235647,1
1307,T30235648,1
1308,T30235649,1
1309,T30235650,0
1310,T30235651,1
1311,T30235652,1
1312,T30235653,1
1313,T30235654,1
1314,T30235655,1
1315,T30235656,1
1316,T30235657,1
1317,T30235658,1
1318,T30235659,1
1319,T30235660,0
1320,T30235661,1
1321,T30235662,1
1322,T30235663,1
1323,T30235664,1
1324,T30235665,1
1325,T30235666,1
1326,T30235667,1
1327,T30235668,0
1328,T30235669,1
1329,T30235670,1
1330,T30235671,0
1331,T30235672,1
1332,T30235673,1
1333,T30235674,1
1334,T30235675,0
1335,T30235676,0
1336,T30235677,1
1337,T30235678,1
1338,T30235679,1
1339,T30235680,1
1340,T30235681,0
1341,T30235682,1
1342,T30235683,1
1343,T30235684,1
1344,T30235685,1
1345,T30235686,1
1346,T30235687,1
1347,T30235688,1
1348,T30235689,1
1349,T30235690,1
1350,T30235691,1
1351,T30235692,1
1352,T30235693,1
1353,T30235694,1
1354,T30235695,1
1355,T30235696,1
1356,T30235697,1
1357,T30235698,1
1358,T30235699,1
1359,T30235700,1
1360,T30235701,1
1361,T30235702,1
1362,T30235703,1
1363,T30235704,0
1364,T30235705,1
1365,T30235706,1
1366,T30235707,0
1367,T30235708,1
1368,T30235709,1
1369,T30235710,1
1370,T30235711,1
1371,T30235712,1
1372,T30235713,0
1373,T30235714,0
1374,T30235715,1
1375,T30235716,1
1376,T30235717,1
1377,T30235718,1
1378,T30235719,1
1379,T30235720,1
1380,T30235721,1
1381,T30235722,1
1382,T30235723,0
1383,T30235724,0
1384,T30235725,1
1385,T30235726,1
1386,T30235727,1
1387,T30235728,1
1388,T30235729,1
1389,T30235730,1
1390,T30235731,0
1391,T30235732,1
1392,T30235733,1
1393,T30235734,1
1394,T30235735,1
1395,T30235736,1
1396,T30235737,1
1397,T30235738,1
1398,T30235739,1
1399,T30235740,1
1400,T30235741,1
1401,T30235742,1
1402,T30235743,0
1403,T30235744,1
1404,T30235745,1
1405,T30235746,0
1406,T30235747,1
1407,T30235748,1
1408,T30235749,1
1409,T30235750,1
1410,T30235751,1
1411,T30235752,1
1412,T30235753,1
1413,T30235754,1
1414,T30235755,0
1415,T30235756,1
1416,T30235757,1
1417,T30235758,1
1418,T30235759,1
1419,T30235760,1
1420,T30235761,1
1421,T30235762,1
1422,T30235763,1
1423,T30235764,0
1424,T30235765,1
1425,T30235766,0
1426,T30235767,0
1427,T30235768,1
1428,T30235769,0
1429,T30235770,0
1430,T30235771,0
1431,T30235772,1
1432,T30235773,1
1433,T30235774,0
1434,T30235775,0
1435,T30235776,0
1436,T30235777,1
1437,T30235778,0
1438,T30235779,1
1439,T30235780,1
1440,T30235781,1
1441,T30235782,0
1442,T30235783,0
1443,T30235784,1
1444,T30235785,1
1445,T30235786,1
1446,T30235787,1
1447,T30235788,1
1448,T30235789,1
1449,T30235790,1
1450,T30235791,0
1451,T30235792,0
1452,T30235793,1
1453,T30235794,1
1454,T30235795,0
1455,T30235796,1
1456,T30235797,1
1457,T30235798,1
1458,T30235799,1
1459,T30235800,1
1460,T30235801,1
1461,T30235802,1
1462,T30235803,1
1463,T30235804,1
1464,T30235805,0
1465,T30235806,1
1466,T30235807,0
1467,T30235808,0
1468,T30235809,1
1469,T30235810,1
1470,T30235811,1
1471,T30235812,1
1472,T30235813,1
1473,T30235814,1
1474,T30235815,1
1475,T30235816,1
1476,T30235817,1
1477,T30235818,1
1478,T30235819,0
1479,T30235820,1
1480,T30235821,1
1481,T30235822,1
1482,T30235823,0
1483,T30235824,0
1484,T30235825,0
1485,T30235826,1
1486,T30235827,1
1487,T30235828,1
1488,T30235829,0
1489,T30235830,1
1490,T30235831,1
1491,T30235832,1
1492,T30235833,1
1493,T30235834,1
1494,T30235835,1
1495,T30235836,1
1496,T30235837,1
1497,T30235838,0
